"ABANDONADO","CULT","MALEZA","DESCAMPADO","VEGETACION","CIELO","SUELO_DESNUDO","PAISAJE"
"NO ABANDONO",52.46,0.00,0.00,0.00,38.06,2.30,0.00
"NO ABANDONO",34.94,0.00,0.00,0.00,34.68,0.00,1.22
"NO ABANDONO",57.41,0.00,12.01,0.00,30.56,0.00,0.00
"NO ABANDONO",34.94,0.00,0.00,0.00,34.68,0.00,1.22
"NO ABANDONO",52.46,0.00,0.00,0.00,38.06,2.30,0.00
"NO ABANDONO",20.83,7.65,44.35,0.00,27.15,0.00,0.00
"NO ABANDONO",12.74,0.00,0.00,0.00,31.78,55.46,0.00
"NO ABANDONO",50.44,0.00,46.44,0.00,3.10,0.00,0.00
"NO ABANDONO",52.34,7.37,0.00,0.00,14.39,24.52,0.00
"NO ABANDONO",35.85,0.00,0.00,3.72,21.49,0.00,0.00
"NO ABANDONO",16.50,0.00,16.90,3.03,27.43,0.00,0.00
"NO ABANDONO",13.16,5.91,0.00,18.44,13.56,0.00,0.00
"NO ABANDONO",44.37,0.00,0.00,0.00,44.92,10.70,0.00
"NO ABANDONO",44.37,0.00,0.00,0.00,44.92,10.70,0.00
"NO ABANDONO",44.37,0.00,0.00,0.00,44.92,10.70,0.00
"NO ABANDONO",30.69,0.00,38.90,0.00,28.90,0.00,0.00
"NO ABANDONO",27.87,0.00,37.81,0.00,22.87,0.00,1.54
"NO ABANDONO",37.02,0.00,41.53,0.00,17.23,0.00,2.18
"NO ABANDONO",88.90,5.17,0.00,0.00,5.92,0.00,0.00
"NO ABANDONO",43.24,0.00,28.61,0.00,26.18,0.00,1.96
"NO ABANDONO",14.36,0.00,0.00,0.00,42.82,40.78,2.02
"NO ABANDONO",76.29,0.00,2.53,0.00,21.16,0.00,0.00
"NO ABANDONO",79.53,8.55,0.00,0.00,11.90,0.00,0.00
"NO ABANDONO",22.79,0.00,41.92,0.00,10.42,23.55,1.29
"NO ABANDONO",64.02,0.00,3.99,0.00,31.97,0.00,0.00
"NO ABANDONO",81.52,0.00,0.00,0.00,18.47,0.00,0.00
"NO ABANDONO",28.56,0.00,26.91,0.00,42.84,0.00,1.67
"NO ABANDONO",50.61,0.00,6.75,0.00,42.63,0.00,0.00
"NO ABANDONO",66.41,0.00,7.38,0.00,26.20,0.00,0.00
"NO ABANDONO",43.33,0.00,6.97,0.00,49.69,0.00,0.00
"NO ABANDONO",61.46,0.00,0.00,0.00,21.85,8.23,0.00
"NO ABANDONO",57.81,0.00,5.95,0.00,31.79,0.00,0.00
"NO ABANDONO",71.90,0.00,0.00,0.00,28.09,0.00,0.00
"NO ABANDONO",60.25,0.00,18.96,0.00,20.77,0.00,0.00
"NO ABANDONO",40.00,0.00,0.00,0.00,49.25,0.00,0.00
"NO ABANDONO",7.23,0.00,48.99,0.00,43.76,0.00,0.00
"NO ABANDONO",60.60,0.00,0.00,0.00,39.39,0.00,0.00
"NO ABANDONO",63.22,0.00,0.00,0.00,36.77,0.00,0.00
"NO ABANDONO",64.64,0.00,0.00,0.00,35.35,0.00,0.00
"NO ABANDONO",11.75,2.04,22.77,4.00,59.42,0.00,0.00
"NO ABANDONO",16.17,0.00,32.39,8.28,26.51,16.62,0.00
"NO ABANDONO",81.63,0.00,0.00,6.19,12.16,0.00,0.00
"NO ABANDONO",52.98,0.00,25.35,0.00,21.66,0.00,0.00
"NO ABANDONO",21.74,2.13,48.38,0.00,25.07,0.00,2.65
"NO ABANDONO",24.80,0.00,0.00,0.00,36.10,39.08,0.00
"NO ABANDONO",24.80,0.00,0.00,0.00,36.10,39.08,0.00
"NO ABANDONO",32.10,0.00,0.00,0.00,31.82,36.06,0.00
"NO ABANDONO",43.35,0.00,25.15,1.26,30.21,0.00,0.00
"NO ABANDONO",63.18,0.00,19.66,0.00,15.67,0.00,1.47
"NO ABANDONO",51.52,0.00,0.00,0.00,39.40,9.07,0.00
"NO ABANDONO",47.69,0.00,0.00,0.00,11.74,40.56,0.00
"NO ABANDONO",41.80,0.00,6.86,0.00,40.57,0.00,0.00
"NO ABANDONO",47.23,0.00,0.00,0.00,46.13,6.62,0.00
"NO ABANDONO",52.78,0.00,3.04,0.00,42.40,0.00,0.00
"NO ABANDONO",56.43,2.62,0.00,0.00,39.79,0.00,0.00
"NO ABANDONO",50.40,0.00,10.03,0.00,37.94,0.00,0.00
"NO ABANDONO",33.08,0.00,32.14,1.28,33.48,0.00,0.00
"NO ABANDONO",20.71,0.00,51.07,0.00,25.06,0.00,0.00
"ABANDONO",0.00,54.71,0.00,9.99,33.73,0.00,0.00
"NO ABANDONO",29.27,0.00,0.00,0.00,43.39,27.32,0.00
"NO ABANDONO",15.77,16.05,34.72,10.28,23.16,0.00,0.00
"NO ABANDONO",55.76,0.00,1.95,6.23,6.93,29.10,0.00
"NO ABANDONO",25.10,4.66,27.86,0.00,22.87,0.00,3.03
"NO ABANDONO",46.62,8.09,20.91,24.36,0.00,0.00,0.00
"NO ABANDONO",36.19,2.51,32.03,0.00,20.54,0.00,0.00
"ABANDONO",0.00,16.60,6.06,8.32,45.43,0.00,0.00
"NO ABANDONO",21.03,6.51,50.88,0.00,21.57,0.00,0.00
"NO ABANDONO",17.97,6.99,4.39,0.00,25.27,43.40,1.95
"ABANDONO",20.62,22.44,9.47,47.45,0.00,0.00,0.00
"NO ABANDONO",53.15,0.00,32.15,0.00,14.68,0.00,0.00
