ABANDONADO;CULT;MALEZA;DESCAMPADO;VEGETACION;CIELO;SUELO_DESNUDO;PAISAJE
NO ABANDONO;6,435590109;2,245977756;0;4,923874312;30,94698197;55,44757586;0
NO ABANDONO;8,848391701;1,394225491;0;6,521023164;25,06312438;58,17323526;0
NO ABANDONO;52,46838025;0;0;0;38,06609547;2,305181559;0
NO ABANDONO;34,94713411;0;0;0;34,68002226;0;1,22426266
NO ABANDONO;57,41795217;0;12,01987783;0;30,56217;0;0
NO ABANDONO;34,94713411;0;0;0;34,68002226;0;1,22426266
NO ABANDONO;52,46838025;0;0;0;38,06609547;2,305181559;0
NO ABANDONO;20,83242773;7,650510759;44,35992176;0;27,15713975;0;0
NO ABANDONO;12,74627191;0;0;0;31,78404267;55,46968543;0
NO ABANDONO;50,44257113;0;46,44889357;0;3,1085353;0;0
NO ABANDONO;52,34366504;7,373572594;0;0;14,39912996;24,52419793;0
NO ABANDONO;35,85702513;0;0;3,728883395;21,49773383;0;0
NO ABANDONO;16,50168492;0;16,90185341;3,032855939;27,4326032;0;0
NO ABANDONO;13,16588174;5,913134485;0;18,44060701;13,56357928;0;0
NO ABANDONO;44,37108708;0;0;0;44,928856;10,70005692;0
NO ABANDONO;44,37108708;0;0;0;44,928856;10,70005692;0
NO ABANDONO;44,37108708;0;0;0;44,928856;10,70005692;0
NO ABANDONO;30,69517519;0;38,90070525;0;28,90406358;0;0
NO ABANDONO;27,87077514;0;37,81853076;0;22,87024203;0;1,546007037
NO ABANDONO;37,02225955;0;41,53716926;0;17,2301554;0;2,183956321
NO ABANDONO;88,90451413;5,175080861;0;0;5,920405006;0;0
NO ABANDONO;43,24805906;0;28,6114293;0;26,18047601;0;1,960035637
NO ABANDONO;14,36297452;0;0;0;42,82891316;40,7800312;2,028081123
NO ABANDONO;76,29652541;0;2,536343953;0;21,16713063;0;0
NO ABANDONO;79,53846154;8,556213018;0;0;11,90532544;0;0
NO ABANDONO;22,79962053;0;41,92052282;0;10,42479182;23,55855381;1,296511015
NO ABANDONO;64,02507966;0;3,998355432;0;31,97656491;0;0
NO ABANDONO;81,52604757;0;0;0;18,47395243;0;0
NO ABANDONO;28,56394679;0;26,91945114;0;42,84068294;0;1,675919137
NO ABANDONO;50,61107117;0;6,757728253;0;42,63120058;0;0
NO ABANDONO;66,41086799;0;7,383594317;0;26,2055377;0;0
NO ABANDONO;43,33813839;0;6,970757825;0;49,69110379;0;0
NO ABANDONO;61,46296105;0;0;0;21,85143093;8,234321727;0
