"fot_codigo","POR_CULT","POR_CIELO","POR_PAISAJE","PAN_DET","HERBACEO O LENOSO","AB_REV"
"1899006",23.33,29.00,0.00,"Panorámica","H",0
"1899011",21.96,32.70,5.81,"Panorámica","H",0
"1899013",13.41,31.09,5.46,"Panorámica","H",0
"1899015",6.14,32.23,13.67,"Panorámica","H",0
"1899016",10.88,26.46,9.15,"Panorámica","H",0
"1899030",17.31,30.24,8.62,"Panorámica","H",0
"1899031",26.45,24.83,1.07,"Panorámica","H",0
"1899035",44.20,11.86,11.68,"Panorámica","H",0
"1899044",48.35,45.35,3.73,"Panorámica","H",0
"1899061",38.05,58.89,0.00,"Panorámica","H",0
"1899062",50.39,35.93,11.43,"Panorámica","H",0
"1899064",17.66,31.18,0.00,"Panorámica","H",0
"1899065",23.48,28.38,7.27,"Panorámica","H",0
"1899066",33.52,44.12,9.58,"Panorámica","H",0
"1899074",16.60,44.35,0.00,"Panorámica","H",0
"1899084",56.94,25.66,0.00,"Panorámica","H",0
"1899086",55.35,26.24,6.13,"Panorámica","H",0
"1899087",34.84,24.67,8.14,"Panorámica","H",0
"1899088",32.34,25.50,2.49,"Panorámica","H",0
"1899124",41.06,40.80,0.00,"Panorámica","H",0
"1899125",13.42,50.43,6.11,"Panorámica","H",0
"1899126",34.35,37.16,11.11,"Panorámica","H",0
"1899164",52.52,26.60,0.00,"Panorámica","H",0
"1899168",25.33,38.86,7.97,"Panorámica","H",0
"1899187",22.13,57.09,0.00,"Panorámica","H",0
"1899189",35.14,60.52,2.70,"Panorámica","H",0
"1899190",23.54,29.83,0.00,"Panorámica","H",0
"1899198",24.05,19.85,1.76,"Panorámica","H",0
"1899217",11.58,39.73,1.10,"Panorámica","H",0
"1899219",47.39,22.80,0.00,"Panorámica","H",0
"1899221",46.34,26.67,0.00,"Panorámica","H",0
"1899222",53.39,24.44,0.00,"Panorámica","H",0
"1899223",54.56,24.33,0.00,"Panorámica","H",0
"1899224",82.02,9.95,0.00,"Detalle","H",0
"1899225",71.58,26.52,0.00,"Detalle","H",0
"1899226",75.68,22.57,0.00,"Detalle","H",0
"1899227",59.83,25.88,0.00,"Panorámica","H",0
"1899228",97.41,0.00,0.00,"Detalle","H",0
"1899230",70.40,27.62,0.00,"Panorámica","H",0
"1899235",54.66,43.03,0.00,"Panorámica","H",0
"1899237",58.18,32.79,0.00,"Panorámica","H",0
"1899238",48.50,31.68,0.00,"Panorámica","H",0
"1899240",48.56,25.38,0.00,"Panorámica","H",0
"1899255",46.33,24.47,4.47,"Panorámica","H",0
"1899352",39.11,21.14,0.00,"Panorámica","H",0
"1899359",45.07,29.14,0.00,"Panorámica","H",0
"1899360",24.80,31.45,0.00,"Panorámica","H",0
"1899361",39.46,28.53,0.00,"Panorámica","H",0
"1899364",20.28,24.82,0.00,"Panorámica","H",0
"1899380",44.89,33.44,0.00,"Panorámica","H",0
"1899381",30.17,39.12,0.00,"Panorámica","H",0
"1899382",66.99,9.46,0.00,"Detalle","H",0
"1899383",52.22,29.47,0.00,"Panorámica","H",0
"1899384",42.22,47.06,0.00,"Panorámica","H",0
"1899385",33.96,52.63,0.00,"Panorámica","H",0
"1899402",30.05,45.41,0.00,"Panorámica","H",0
"1899408",18.90,26.98,0.00,"Panorámica","H",0
"1899419",22.47,54.27,0.00,"Panorámica","H",0
"1899423",35.31,46.99,0.00,"Panorámica","H",0
"1899425",40.61,29.75,0.00,"Panorámica","H",0
"1899427",62.09,31.64,0.00,"Panorámica","H",0
"1899428",24.69,56.97,0.00,"Panorámica","H",0
"1899429",31.98,49.66,1.71,"Panorámica","H",0
"1899430",24.90,38.62,0.00,"Panorámica","H",0
"1899492",45.86,21.12,0.00,"Panorámica","H",0
"1899495",59.02,18.73,0.00,"Detalle","H",0
"1899506",28.96,34.06,0.00,"Panorámica","H",0
"1899508",20.82,28.32,0.00,"Panorámica","H",0
"1899511",14.26,47.66,0.00,"Panorámica","H",0
"1899513",46.24,20.96,0.00,"Panorámica","H",0
"1899523",8.55,34.04,0.00,"Panorámica","H",0
"1899524",32.08,32.86,0.00,"Panorámica","H",0
"1899525",40.06,27.77,0.00,"Panorámica","H",0
"1899526",32.39,18.94,6.73,"Panorámica","H",0
"1899528",32.50,22.12,0.00,"Panorámica","H",0
"1899532",11.38,30.65,0.00,"Panorámica","H",0
"1899550",99.74,0.00,0.00,"Detalle","H",0
"1899552",54.17,19.77,0.00,"Panorámica","H",0
"1899562",38.41,17.66,10.60,"Panorámica","H",0
"1899565",45.45,19.61,2.01,"Panorámica","H",0
"1899741",34.01,30.71,0.00,"Panorámica","H",0
"1899755",14.24,32.53,0.00,"Panorámica","H",0
"1899757",13.50,35.71,3.87,"Panorámica","H",0
"1899772",59.48,32.12,1.22,"Panorámica","H",0
"1899773",44.80,31.99,1.11,"Panorámica","H",0
"1899802",37.62,21.13,4.29,"Panorámica","H",0
"1899826",67.58,22.32,0.00,"Panorámica","H",0
"1899834",63.24,22.81,0.00,"Panorámica","H",0
"1899839",46.95,28.11,0.00,"Panorámica","H",0
"1899841",54.88,28.44,1.01,"Panorámica","H",0
"1899848",18.82,18.95,1.05,"Panorámica","H",0
"1899861",29.53,24.22,0.00,"Panorámica","H",0
"1899864",30.14,7.73,2.35,"Panorámica","H",0
"1899870",65.40,16.97,0.00,"Panorámica","H",0
"1899872",70.68,26.72,0.00,"Panorámica","H",0
"1899873",26.82,26.74,3.20,"Panorámica","H",0
"1899875",60.56,13.62,0.00,"Panorámica","H",0
"1899876",31.46,53.07,0.00,"Panorámica","H",0
"1899877",39.12,42.79,0.00,"Panorámica","H",0
"1899878",29.89,32.77,0.00,"Panorámica","H",0
"1899880",34.00,25.79,0.00,"Panorámica","H",0
"1899881",23.95,41.76,0.00,"Panorámica","H",0
"1899883",41.20,48.51,0.00,"Panorámica","H",0
"1899885",59.76,17.01,0.00,"Panorámica","H",0
"1899898",67.26,19.61,7.92,"Panorámica","H",0
"1899899",58.92,15.43,2.52,"Panorámica","H",0
"1899901",16.98,32.42,9.52,"Panorámica","H",0
"1899902",56.17,36.77,5.10,"Panorámica","H",0
"1899906",26.22,36.26,3.81,"Panorámica","H",0
"1899911",22.73,31.78,9.27,"Panorámica","H",0
"1899919",19.46,46.22,6.20,"Panorámica","H",0
"1899921",17.11,38.85,3.27,"Panorámica","H",0
"1899932",26.23,35.18,0.00,"Panorámica","H",0
"1899938",61.80,0.00,0.00,"Detalle","H",0
"1899939",25.68,42.67,2.31,"Panorámica","H",0
"1899941",20.08,31.83,1.42,"Panorámica","H",0
"1899947",22.89,31.41,2.11,"Panorámica","H",0
"1903083",33.65,28.63,0.00,"Panorámica","H",0
"1903109",61.17,5.85,0.00,"Panorámica","H",0
"1903531",27.39,3.17,5.43,"Panorámica","H",0
"1907136",58.92,32.25,1.45,"Panorámica","H",0
"1907234",32.90,19.11,0.00,"Panorámica","H",0
"1907248",20.89,20.57,2.34,"Panorámica","H",0
"1907272",16.60,25.91,0.00,"Panorámica","H",0
"1907273",52.97,18.31,0.00,"Panorámica","H",0
"1907275",45.08,41.65,0.00,"Panorámica","H",0
"1907276",58.96,23.60,0.00,"Detalle","H",0
"1907288",44.44,25.61,0.00,"Panorámica","H",0
"1907290",15.13,38.05,0.00,"Panorámica","H",0
"1907297",52.56,22.08,0.00,"Panorámica","H",0
"1907298",16.06,35.98,0.00,"Panorámica","H",0
"1907302",57.75,23.44,0.00,"Panorámica","H",0
"1907308",23.78,50.16,0.00,"Panorámica","H",0
"1907312",40.40,39.64,0.00,"Panorámica","H",0
"1907323",45.26,28.74,0.00,"Panorámica","H",0
"1907324",56.78,27.31,0.00,"Panorámica","H",0
"1907328",16.94,37.76,0.00,"Panorámica","H",0
